Bias,J(pixel1),J(pixel2),J(pixel3),J(pixel4),J(pixel5),J(pixel6)
V,mA_cm_2,mA_cm_2,mA_cm_2,mA_cm_2,mA_cm_2,mA_cm_2
-0.2,0,-22.0271,-22.3065,-22.506,-21.3488,0
-0.18,0,-21.9872,-22.3464,-22.4661,-21.269,0
-0.16,0,-22.0271,-22.3065,-22.4262,-21.269,0
-0.14,0,-21.9872,-22.2666,-22.4262,-21.1093,0
-0.12,0,-22.0271,-22.2267,-22.3863,-21.1891,0
-0.1,0,-22.067,-22.2267,-22.4262,-21.1093,0
-0.08,0,-22.067,-22.2666,-22.4262,-21.0694,0
-0.06,0,-22.1069,-22.2267,-22.4262,-21.0295,0
-0.04,0,-22.1069,-22.2267,-22.3863,-20.9497,0
-0.02,0,-22.067,-22.1468,-22.4262,-20.9497,0
0,0,-22.067,-22.1069,-22.4262,-20.9497,0
0.02,0,-22.0271,-22.1069,-22.3863,-20.9098,0
0.04,0,-22.0271,-22.1069,-22.3464,-20.9098,0
0.06,0,-21.9473,-22.1069,-22.3863,-20.9098,0
0.08,0,-21.9872,-22.1069,-22.4262,-20.9098,0
0.1,0,-21.9473,-22.1069,-22.3464,-20.8699,0
0.12,0,-21.9074,-22.1468,-22.3464,-20.8699,0
0.14,0,-21.9074,-22.1468,-22.3464,-20.83,0
0.16,0,-21.9074,-22.1468,-22.3464,-20.8699,0
0.18,0,-21.9074,-22.1468,-22.3464,-20.7901,0
0.2,0,-21.9074,-22.1868,-22.3863,-20.7502,0
0.22,0,-21.9074,-22.1868,-22.3464,-20.7103,0
0.24,0,-21.8276,-22.1868,-22.3464,-20.6704,0
0.26,0,-21.8276,-22.1468,-22.3863,-20.6305,0
0.28,0,-21.7877,-22.1868,-22.3863,-20.6305,0
0.3,0,-21.7478,-22.1868,-22.3464,-20.5906,0
0.32,0,-21.7877,-22.1468,-22.3464,-20.5906,0
0.34,0,-21.7478,-22.1069,-22.2666,-20.5906,0
0.36,0,-21.7079,-22.1069,-22.2666,-20.6305,0
0.38,0,-21.668,-22.0271,-22.2666,-20.5906,0
0.4,0,-21.7079,-22.067,-22.1468,-20.5507,0
0.42,0,-21.7079,-22.0271,-22.1468,-20.5108,0
0.44,0,-21.5882,-21.9872,-22.1468,-20.431,0
0.46,0,-21.5483,-22.0271,-22.1069,-20.431,0
0.48,0,-21.5084,-22.0271,-22.1069,-20.3911,0
0.5,0,-21.5084,-21.9872,-22.1069,-20.3512,0
0.52,0,-21.4286,-22.0271,-22.1069,-20.3113,0
0.54,0,-21.3488,-21.9872,-22.067,-20.2713,0
0.56,0,-21.3089,-21.9473,-22.0271,-20.1915,0
0.58,0,-21.2291,-21.9473,-21.9872,-20.1117,0
0.6,0,-21.1891,-21.9074,-21.9473,-20.1117,0
0.62,0,-21.0694,-21.8276,-21.9074,-20.0718,0
0.64,0,-21.0295,-21.7877,-21.9074,-19.9521,0
0.66,0,-20.9497,-21.668,-21.8675,-19.8324,0
0.68,0,-20.83,-21.6281,-21.7877,-19.7526,0
0.7,0,-20.6704,-21.5882,-21.7877,-19.6329,0
0.72,0,-20.5108,-21.6281,-21.6281,-19.5132,0
0.74,0,-20.3113,-21.5882,-21.5882,-19.3136,0
0.76,0,-20.1117,-21.5084,-21.5084,-19.0742,0
0.78,0,-19.9521,-21.5084,-21.3887,-18.8348,0
0.8,0,-19.6329,-21.4286,-21.1891,-18.5156,0
0.82,0,-19.3536,-21.3089,-20.9896,-18.1963,0
0.84,0,-19.0343,-21.2291,-20.7502,-17.7973,0
0.86,0,-18.5954,-21.0694,-20.5108,-17.1588,0
0.88,0,-18.0766,-20.9497,-20.2713,-16.4405,0
0.9,0,-17.3982,-20.6704,-19.9122,-15.5227,0
0.92,0,-16.68,-20.3113,-19.3935,-14.4453,0
0.94,0,-15.7223,-19.8723,-18.755,-13.0886,0
0.96,0,-14.4852,-19.2737,-17.917,-11.3328,0
0.98,0,-13.0088,-18.3958,-16.7598,-9.13807,0
1,0,-11.0535,-17.1189,-15.2434,-6.34477,0
1.02,0,-8.57941,-15.2434,-13.0886,-2.71349,0
1.04,0,-5.50678,-12.6097,-10.0958,1.9154,0
1.06,0,-1.67598,-8.85874,-5.90583,7.86113,0
1.08,0,2.95291,-3.67119,-0.199521,15.3232,0
1.1,0,8.53951,3.27215,7.38228,24.4214,0
1.12,0,15.6026,12.3703,17.2785,35.4749,0
1.14,0,22.8651,23.4637,29.4493,48.4437,0
1.16,0,31.3248,36.8316,43.9745,63.1285,0
1.18,0,41.4206,53.2721,61.8915,80.5267,0
1.2,0,52.8731,72.5459,82.5219,100.2,0
1.2,0,53.3919,72.3464,81.9234,99.8404,0
1.18,0,41.5802,51.8356,59.5371,78.0926,0
1.16,0,30.0479,33.5595,40.0239,58.1405,0
1.14,0,19.5531,18.8747,24.4214,41.1812,0
1.12,0,9.93615,6.90343,11.6121,26.5363,0
1.1,0,2.91301,-0.997606,2.8332,15.9617,0
1.08,0,-4.11014,-7.94094,-4.7087,6.42458,0
1.06,0,-9.17797,-12.3703,-9.77654,-0.399042,0
1.04,0,-12.8891,-15.3232,-13.2881,-5.30726,0
1.02,0,-15.4828,-17.2785,-15.6824,-8.81883,0
1,0,-17.3583,-18.5954,-17.3583,-11.4126,0
0.98,0,-18.5954,-19.5531,-18.5156,-13.2881,0
0.96,0,-19.4733,-20.1516,-19.3536,-14.7646,0
0.94,0,-20.0319,-20.6305,-19.9521,-15.842,0
0.92,0,-20.5108,-20.9098,-20.3911,-16.6401,0
0.9,0,-20.83,-21.1891,-20.6704,-17.4381,0
0.88,0,-20.9896,-21.3887,-20.9098,-17.9968,0
0.86,0,-21.1891,-21.4685,-21.1093,-18.5156,0
0.84,0,-21.3488,-21.5882,-21.3089,-18.9146,0
0.82,0,-21.4685,-21.668,-21.4286,-19.2737,0
0.8,0,-21.5084,-21.7478,-21.4685,-19.5531,0
0.78,0,-21.5882,-21.668,-21.6281,-19.7925,0
0.76,0,-21.668,-21.7478,-21.668,-20.0319,0
0.74,0,-21.7079,-21.7478,-21.7079,-20.1516,0
0.72,0,-21.7079,-21.7877,-21.8276,-20.3113,0
0.7,0,-21.7877,-21.7478,-21.8675,-20.431,0
0.68,0,-21.7877,-21.8675,-21.9473,-20.5108,0
0.66,0,-21.8675,-21.8675,-22.0271,-20.5906,0
0.64,0,-21.8276,-21.9074,-22.067,-20.6704,0
0.62,0,-21.8675,-21.9074,-22.1468,-20.7103,0
0.6,0,-21.8675,-21.9473,-22.2267,-20.7901,0
0.58,0,-21.8675,-21.9872,-22.2267,-20.83,0
0.56,0,-21.8675,-22.0271,-22.2666,-20.83,0
0.54,0,-21.9074,-22.0271,-22.2666,-20.9098,0
0.52,0,-21.9074,-22.067,-22.2666,-20.9497,0
0.5,0,-21.9473,-22.0271,-22.3065,-20.9497,0
0.48,0,-21.9872,-22.1468,-22.3065,-21.0295,0
0.46,0,-21.9872,-22.1868,-22.3065,-21.0295,0
0.44,0,-21.9473,-22.2267,-22.3065,-20.9896,0
0.42,0,-21.9872,-22.2267,-22.3464,-21.0295,0
0.4,0,-22.0271,-22.2666,-22.3464,-21.0295,0
0.38,0,-21.9872,-22.2666,-22.3065,-21.0295,0
0.36,0,-21.9074,-22.2267,-22.3464,-21.0295,0
0.34,0,-21.9872,-22.1868,-22.3464,-20.9896,0
0.32,0,-21.9872,-22.1868,-22.3863,-21.0295,0
0.3,0,-21.9473,-22.1468,-22.3863,-21.0694,0
0.28,0,-21.9872,-22.2267,-22.4262,-21.1093,0
0.26,0,-21.9872,-22.1868,-22.4661,-21.0694,0
0.24,0,-22.067,-22.1468,-22.4262,-21.0694,0
0.22,0,-22.067,-22.1868,-22.3863,-21.1093,0
0.2,0,-22.067,-22.1868,-22.4262,-21.1492,0
0.18,0,-22.0271,-22.1868,-22.4262,-21.1093,0
0.16,0,-22.0271,-22.1868,-22.4262,-21.1492,0
0.14,0,-22.0271,-22.2666,-22.4661,-21.1492,0
0.12,0,-22.0271,-22.2267,-22.506,-21.1492,0
0.1,0,-21.9872,-22.1868,-22.5459,-21.1891,0
0.08,0,-21.9872,-22.2267,-22.6257,-21.1891,0
0.06,0,-22.0271,-22.2666,-22.6257,-21.1492,0
0.04,0,-21.9872,-22.3065,-22.5459,-21.1891,0
0.02,0,-22.0271,-22.3464,-22.5459,-21.1891,0
0,0,-21.9872,-22.3065,-22.5459,-21.2291,0
-0.02,0,-21.9473,-22.3464,-22.506,-21.2291,0
-0.04,0,-21.9872,-22.3065,-22.5459,-21.2291,0
-0.06,0,-22.0271,-22.3065,-22.5459,-21.1891,0
-0.08,0,-22.067,-22.3065,-22.5459,-21.1891,0
-0.1,0,-22.067,-22.2666,-22.5858,-21.2291,0
-0.12,0,-22.067,-22.3065,-22.5858,-21.269,0
-0.14,0,-22.1069,-22.3065,-22.5858,-21.3089,0
-0.16,0,-22.1069,-22.3464,-22.5858,-21.3089,0
-0.18,0,-22.0271,-22.3464,-22.6257,-21.3089,0
-0.2,0,-22.067,-22.2267,-22.5858,-21.3089,0
,,,,,,
,,,,,,
Parameter,Pixel1,Pixel2,Pixel3,Pixel4,Pixel5,Pixel6
Voc(V),0,1.06724,1.09057,1.08053,1.03172,0
Jsc(mA_cm_2),0,-22.067,-22.1069,-22.4262,-20.9497,0
FF(%),0,67.9042,77.5069,73.9557,69.1658,0
Vmpp(V),0,0.86,0.92,0.9,0.84,0
Jmpp(mA_cm_2),0,-18.5954,-20.3113,-19.9122,-17.7973,0
Efficiency (%),0,15.992,18.6864,17.921,14.9497,0
Voc(V),0,1.0917,1.10253,1.09249,1.06117,0
Jsc (mA_cm_2),0,-21.9872,-22.3065,-22.5459,-21.2291,0
FF(%),0,78.613,78.853,76.163,70.6838,0
Vmpp(V),0,0.92,0.94,0.92,0.86,0
Jmpp(mA_cm_2),0,-20.5108,-20.6305,-20.3911,-18.5156,0
Efficiency (%),0,18.8699,19.3927,18.7598,15.9234,0
