Bias,J(pixel1),J(pixel2),J(pixel3),J(pixel4),J(pixel5),J(pixel6)
V,mA_cm_2,mA_cm_2,mA_cm_2,mA_cm_2,mA_cm_2,mA_cm_2
-0.2,0,-20.1516,-21.9074,-21.668,-127.733,0
-0.18,0,-20.0319,-21.7079,-21.668,-116.48,0
-0.16,0,-19.9521,-21.5483,-21.5882,-105.626,0
-0.14,0,-19.9122,-21.5084,-21.5483,-94.6927,0
-0.12,0,-19.9122,-21.4286,-21.5882,-83.8787,0
-0.1,0,-19.8723,-21.3887,-21.5882,-72.8651,0
-0.08,0,-19.8324,-21.3887,-21.5882,-61.9314,0
-0.06,0,-19.8324,-21.3488,-21.6281,-50.9178,0
-0.04,0,-19.7925,-21.3089,-21.5882,-39.9042,0
-0.02,0,-19.7526,-21.269,-21.5882,-28.9705,0
0,0,-19.6329,-21.3089,-21.5084,-18.3559,0
0.02,0,-19.6329,-21.2291,-21.5084,-7.42219,0
0.04,0,-19.5531,-21.0694,-21.5483,3.51157,0
0.06,0,-19.4733,-21.1093,-21.5483,14.4852,0
0.08,0,-19.4334,-21.1093,-21.5084,25.3392,0
0.1,0,-19.4334,-21.0295,-21.5084,36.233,0
0.12,0,-19.4334,-20.9497,-21.4286,47.1668,0
0.14,0,-19.4334,-20.9098,-21.4286,57.9808,0
0.16,0,-19.4733,-20.8699,-21.3488,68.7949,0
0.18,0,-19.4733,-20.7901,-21.3488,79.2897,0
0.2,0,-19.3935,-20.7103,-21.3488,89.4254,0
0.22,0,-19.3935,-20.6704,-21.3488,98.0447,0
0.24,0,-19.2737,-20.6704,-21.3488,103.831,0
0.26,0,-19.2737,-20.6704,-21.3089,98.6034,0
0.28,0,-19.1939,-20.6305,-21.3089,29.6887,0
0.3,0,-19.0742,-20.6305,-21.3089,10.9338,0
0.32,0,-19.0742,-20.5108,-21.3089,7.98085,0
0.34,0,-19.0343,-20.4709,-21.3089,4.7486,0
0.36,0,-18.9545,-20.3512,-21.269,2.8332,0
0.38,0,-18.9545,-20.3113,-21.269,1.11732,0
0.4,0,-18.9944,-20.1915,-21.2291,-0.877893,0
0.42,0,-18.9146,-20.0319,-21.1891,-1.07741,0
0.44,0,-18.8348,-19.9521,-21.1492,-0.718276,0
0.46,0,-18.8348,-19.7925,-21.1093,-1.07741,0
0.48,0,-18.755,-19.6728,-21.1093,-0.598563,0
0.5,0,-18.6353,-19.593,-21.0694,-1.31684,0
0.52,0,-18.5555,-19.4334,-21.0295,-1.07741,0
0.54,0,-18.4358,-19.3136,-20.9896,-1.59617,0
0.56,0,-18.316,-19.1141,-20.9098,-1.43655,0
0.58,0,-18.1963,-18.9146,-20.8699,-2.07502,0
0.6,0,-18.0766,-18.8348,-20.7901,-2.07502,0
0.62,0,-17.917,-18.6752,-20.7502,-2.31445,0
0.64,0,-17.7574,-18.5555,-20.6704,-2.47406,0
0.66,0,-17.5579,-18.3958,-20.5507,-2.7933,0
0.68,0,-17.3583,-18.1963,-20.5108,-3.27215,0
0.7,0,-17.079,-17.9569,-20.431,-3.15243,0
0.72,0,-16.7997,-17.7574,-20.3113,1.95531,0
0.74,0,-16.4405,-17.4781,-20.1516,-2.27454,0
0.76,0,-16.0016,-17.1189,-19.9521,-5.50678,0
0.78,0,-15.4828,-16.8396,-19.7925,-4.26975,0
0.8,0,-14.8444,-16.5204,-19.5531,-3.23224,0
0.82,0,-14.0064,-16.1213,-19.2737,-4.78851,0
0.84,0,-13.0088,-15.7223,-18.8747,-4.62889,0
0.86,0,-11.7717,-15.3232,-18.4358,-3.03272,0
